#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
30488,9.5,1,-3,-1,3.948,4.015,3.779
31524,9,1,-3,-1,3.952,4.023,3.775
32522,8.5,1,-3,-1,3.955,4.032,3.766
33383,8,1,-3,-1,3.957,4.039,3.761
34419,7.5,1,-3,-1,3.96,4.049,3.756
35531,7,1,-3,-1,3.963,4.057,3.754
36826,6.5,1,-3,-1,3.964,4.065,3.75
38151,6,1,-3,-1,3.967,4.076,3.755
40062,5.5,1,-3,-1,3.963,4.094,3.792
41540,5,1,-3,-1,3.951,4.097,3.674
43419,4,1,-3,-1,3.953,4.102,3.7
44616,3,1,-3,-1,3.955,4.105,3.715
30488,9.5,1,-2,-1,3.901,4.043,3.13
31524,9,1,-2,-1,3.984,4.053,3.794
32522,8.5,1,-2,-1,3.99,4.064,3.801
33383,8,1,-2,-1,3.993,4.073,3.79
34419,7.5,1,-2,-1,3.996,4.085,3.766
35531,7,1,-2,-1,3.998,4.095,3.745
36826,6.5,1,-2,-1,4,4.104,3.733
38151,6,1,-2,-1,3.916,4.116,3.053
40062,5.5,1,-2,-1,4.011,4.142,3.738
41540,5,1,-2,-1,3.888,4.148,2.97
43419,4,1,-2,-1,3.906,4.156,3.04
44616,3,1,-2,-1,3.918,4.161,3.048
30488,9.5,1,-1,-1,3.079,4.044,2.239
31524,9,1,-1,-1,2.945,4.056,2.153
32522,8.5,1,-1,-1,3.145,4.067,2.293
33383,8,1,-1,-1,3.979,4.077,3.694
34419,7.5,1,-1,-1,3.98,4.089,3.667
35531,7,1,-1,-1,3.125,4.099,2.252
36826,6.5,1,-1,-1,3.271,4.108,2.341
38151,6,1,-1,-1,3.332,4.124,2.393
40062,5.5,1,-1,-1,3.32,4.157,2.398
41540,5,1,-1,-1,3.139,4.165,2.17
43419,4,1,-1,-1,3.394,4.176,2.26
44616,3,1,-1,-1,3.311,4.184,2.144
30488,9.5,1.25,-3,-1,3.948,4.016,3.773
31524,9,1.25,-3,-1,3.951,4.024,3.765
32522,8.5,1.25,-3,-1,3.954,4.032,3.758
33383,8,1.25,-3,-1,3.957,4.04,3.751
34419,7.5,1.25,-3,-1,3.96,4.049,3.742
35531,7,1.25,-3,-1,3.962,4.057,3.742
36826,6.5,1.25,-3,-1,3.964,4.065,3.739
38151,6,1.25,-3,-1,3.967,4.076,3.737
40062,5.5,1.25,-3,-1,3.953,4.094,3.627
41540,5,1.25,-3,-1,3.952,4.098,3.645
43419,4,1.25,-3,-1,3.953,4.102,3.669
44616,3,1.25,-3,-1,3.955,4.105,3.685
30488,9.5,1.25,-2,-1,3.982,4.044,3.825
31524,9,1.25,-2,-1,3.916,4.054,3.161
32522,8.5,1.25,-2,-1,3.989,4.065,3.795
33383,8,1.25,-2,-1,3.993,4.074,3.783
34419,7.5,1.25,-2,-1,3.996,4.086,3.767
35531,7,1.25,-2,-1,3.924,4.096,3.082
36826,6.5,1.25,-2,-1,3.921,4.104,3.082
38151,6,1.25,-2,-1,4.004,4.117,3.745
40062,5.5,1.25,-2,-1,3.924,4.143,3.016
41540,5,1.25,-2,-1,3.904,4.148,2.966
43419,4,1.25,-2,-1,3.917,4.156,3.034
44616,3,1.25,-2,-1,3.927,4.161,3.032
30488,9.5,1.25,-1,-1,3.231,4.044,2.405
31524,9,1.25,-1,-1,3.11,4.056,2.32
32522,8.5,1.25,-1,-1,3.196,4.067,2.376
33383,8,1.25,-1,-1,3.057,4.077,2.352
34419,7.5,1.25,-1,-1,3.071,4.089,2.348
35531,7,1.25,-1,-1,3.972,4.099,3.608
36826,6.5,1.25,-1,-1,3.974,4.109,3.587
38151,6,1.25,-1,-1,2.843,4.124,3.058
40062,5.5,1.25,-1,-1,2.864,4.158,3.019
41540,5,1.25,-1,-1,3.249,4.165,2.282
43419,4,1.25,-1,-1,3.421,4.176,2.294
44616,3,1.25,-1,-1,3.426,4.184,2.256
30488,9.5,1.5,-3,-1,3.947,4.017,3.767
31524,9,1.5,-3,-1,3.951,4.025,3.76
32522,8.5,1.5,-3,-1,3.954,4.033,3.746
33383,8,1.5,-3,-1,3.956,4.041,3.742
34419,7.5,1.5,-3,-1,3.959,4.05,3.734
35531,7,1.5,-3,-1,3.962,4.058,3.729
36826,6.5,1.5,-3,-1,3.963,4.066,3.726
38151,6,1.5,-3,-1,3.966,4.076,3.73
40062,5.5,1.5,-3,-1,3.961,4.094,3.764
41540,5,1.5,-3,-1,3.952,4.098,3.613
43419,4,1.5,-3,-1,3.953,4.102,3.636
44616,3,1.5,-3,-1,3.955,4.106,3.649
30488,9.5,1.5,-2,-1,3.981,4.045,3.82
31524,9,1.5,-2,-1,3.923,4.055,3.206
32522,8.5,1.5,-2,-1,3.987,4.065,3.777
